iso_3,agriculture_type,representative_administrative_boundary_id,representative_administrative_boundary_name,representative_administrative_boundary_total_star_per_ha,representative_administrative_boundary_agriculture_star_per_ha,max_administrative_boundary_id,max_administrative_boundary_name,max_administrative_boundary_total_star_per_ha,max_administrative_boundary_agriculture_star_per_ha,min_administrative_boundary_id,min_administrative_boundary_name,min_administrative_boundary_total_star_per_ha,min_administrative_boundary_agriculture_star_per_ha
MDG,Crops,MDG.5_1,Toamasina,0.003536731,0.001285489,MDG.2_1,Antsiranana,0.009418522,0.003063077,MDG.5_1,Toamasina,0.003536731,0.001285489
MEX,Crops,MEX.30_1,Veracruz,0.00184216,0.00057282,MEX.9_1,Distrito Federal,0.022446655,0.002257729,MEX.32_1,Zacatecas,3.5145E-05,4.20897E-06
MKD,Crops,MKD.57_1,Prilep,3.16214E-06,2.03735E-07,MKD.70_1,Studenicani,9.3945E-05,2.92238E-05,MKD.39_1,Krivogaštani,1.7283E-08,1.08773E-09
MLI,Crops,MLI.5_1,Koulikoro,1.22575E-06,1.04988E-07,MLI.4_1,Kidal,0.00050537,5.77008E-06,MLI.1_1,Bamako,3.33552E-07,2.83526E-08
MLT,Crops,MLT.4_1,Tramuntana,2.17861E-07,8.45701E-08,MLT.2_1,Ghawdex,3.20933E-07,1.24581E-07,MLT.3_1,Nofsinhar,1.51032E-07,5.8907E-08
MMR,Crops,MMR.13_1,Shan,0.000178712,5.43326E-05,MMR.3_1,Chin,0.002206589,0.00094762,MMR.10_1,Naypyitaw,3.59829E-06,1.15868E-06
MNE,Crops,MNE.16_1,Podgorica,0.002018286,0.000223149,MNE.6_1,Cetinje,0.005217433,0.000576622,MNE.8_1,Herceg Novi,5.86381E-06,4.57098E-07
MNG,Crops,MNG.14_1,Hövsgöl,2.42834E-05,1.77346E-06,MNG.3_1,Bayanhongor,0.000368426,4.96527E-05,MNG.16_1,Orhon,1.7584E-05,1.28617E-06
MNP,Crops,MNP.3_1,Saipan,0.064806272,0.004565637,MNP.3_1,Saipan,0.064806272,0.004565637,MNP.1_1,Northern Islands,0.012693931,0
MOZ,Crops,MOZ.3_1,Inhambane,1.95408E-05,2.39505E-06,MOZ.4_1,Manica,0.000425664,6.40698E-05,MOZ.5_1,Maputo City,1.6413E-05,8.00249E-07
MRT,Crops,MRT.8_1,Hodh el Gharbi,1.64997E-05,1.7551E-06,MRT.3_1,Brakna,0.000367007,7.6922E-05,MRT.4_1,Dakhlet Nouadhibou,4.15495E-06,7.43291E-07
MTQ,Crops,MTQ.2_1,Le Marin,0.010638989,0.001977574,MTQ.3_1,Le Trinité,0.020307944,0.003953549,MTQ.1_1,Fort-de-France,0.005123549,0.00095572
MUS,Crops,MUS.3_1,Flacq,0.007027857,5.9838E-05,MUS.7_1,Plaines Wilhems,0.06424238,0.000412863,MUS.10_1,Rodriguez,2.99823E-07,2.39825E-09
MWI,Crops,MWI.17_1,Mzimba,2.7639E-05,9.04533E-06,MWI.15_1,Mulanje,0.005107778,0.000808024,MWI.7_1,Dowa,2.56278E-06,7.78323E-07
MYS,Crops,MYS.14_1,Sarawak,0.001146233,0.000350386,MYS.15_1,Selangor,0.001994363,0.000497167,MYS.10_1,Perlis,1.77195E-05,6.00434E-06
NAM,Crops,NAM.11_1,Oshikoto,3.08057E-05,2.60018E-06,NAM.3_1,Hardap,0.000727795,6.21464E-05,NAM.7_1,Ohangwena,7.49431E-06,4.66343E-07
NCL,Crops,NCL.2_1,Nord,0.0092581,0.000696036,NCL.2_1,Nord,0.0092581,0.000696036,NCL.3_1,Sud,0.006083492,0.000613378
NER,Crops,NER.4_1,Maradi,5.58603E-06,4.54815E-07,NER.1_1,Agadez,0.000127617,1.04387E-05,NER.3_1,Dosso,2.96236E-06,2.58773E-07
NGA,Crops,NGA.8_1,Borno,2.0147E-06,1.5712E-07,NGA.6_1,Bayelsa,0.005268104,0.002041596,NGA.16_1,Gombe,1.12288E-07,1.34546E-08
NIC,Crops,NIC.2_1,Atlántico Sur,0.000162974,2.71119E-05,NIC.8_1,Granada,0.003090316,0.001540122,NIC.6_1,Chontales,2.53453E-05,2.49615E-06
NLD,Crops,NLD.8_1,Noord-Brabant,1.70862E-06,1.91227E-07,NLD.3_1,Friesland,9.95378E-06,1.81898E-06,NLD.7_1,Limburg,8.2505E-07,1.05507E-07
NOR,Crops,NOR.6_1,Hedmark,1.92273E-05,5.48281E-06,NOR.5_1,Finnmark,0.000147948,6.88304E-06,NOR.1_1,Akershus,1.47936E-06,1.50521E-07
NPL,Crops,NPL.2_1,East,0.000315687,5.73875E-05,NPL.4_1,Mid-Western,0.000748462,0.00013789,NPL.5_1,West,0.000175357,2.6594E-05
NZL,Crops,NZL.3_1,Canterbury,0.001946583,8.48257E-06,NZL.14_1,Southland,0.050114533,8.01115E-05,NZL.6_1,Hawke's Bay,0.000811272,2.03089E-06
OMN,Crops,OMN.9_1,Dhofar,5.00589E-05,1.03841E-05,OMN.4_1,Al Buraymi,0.002152266,1.82417E-05,OMN.6_1,Al Wusta,2.15358E-05,2.60675E-07
PAK,Crops,PAK.7_1,Punjab,7.41911E-06,1.74543E-06,PAK.6_1,Northern Areas,0.000943311,0.000138885,PAK.4_1,F.C.T.,4.8003E-07,3.86356E-08
PAN,Crops,PAN.13_1,Veraguas,0.000774706,0.0001
PER,Crops,PER.6_1,Cajamarca,0.00454599,0.001347944,PER.1_1,Amazonas,0.014726121,0.004407064,PER.11_1,Ica,0.000435479,6.87489E-05
PHL,Crops,PHL.51_1,Negros Occidental,0.002508662,0.001045644,PHL.77_1,Tawi-Tawi,0.04004913,0.009313617,PHL.47_1,Metropolitan Manila,1.51593E-05,3.81339E-06
PLW,Crops,PLW.13_1,Ngeremlengui,0.05165038,0.003525699,PLW.13_1,Ngeremlengui,0.05165038,0.003525699,PLW.13_1,Ngeremlengui,0.05165038,0.003525699
PNG,Crops,PNG.22_1,Western,0.00033062,6.21495E-05,PNG.12_1,Manus,0.099818015,0.031390805,PNG.15_1,National Capital District,6.64004E-06,2.74169E-06
POL,Crops,POL.7_1,Mazowieckie,1.19104E-06,8.77352E-08,POL.10_1,Podlaskie,4.71227E-05,3.51025E-07,POL.2_1,Kujawsko-Pomorskie,1.08306E-06,1.09199E-07
PRI,Crops,PRI.7_1,Arecibo,0.00457122,0.000251183,PRI.21_1,Cidra,0.052343946,0.001338252,PRI.3_1,Aguadilla,0.001347048,0.000118185
PRK,Crops,PRK.5_1,Hwanghae-namdo,5.1773E-05,1.37291E-05,PRK.6_1,Kaesong,0.000869959,0.000398972,PRK.14_1,Sinuiju,0,0
PRT,Crops,PRT.3_1,Beja,2.09392E-05,2.70918E-06,PRT.2_1,Azores,0.00339743,0,PRT.12_1,Lisboa,7.7006E-06,9.54555E-07
PRY,Crops,PRY.5_1,Boquerón,7.3766E-05,1.66942E-05,PRY.15_1,Ñeembucú,0.000258639,6.14578E-05,PRY.9_1,Central,3.51818E-05,9.36636E-06
PSE,Crops,PSE.2_1,West Bank,0.000334953,1.88404E-05,PSE.2_1,West Bank,0.000334953,1.88404E-05,PSE.1_1,Gaza,6.31632E-05,1.28596E-05
PYF,Crops,PYF.2_1,Îles du Vent,0.01869854,0,PYF.3_1,Îles Marquises,0.031128814,0.000447157,PYF.5_1,Îles Tuamotu-Gambier,0.000640982,7.82799E-05
QAT,Crops,QAT.5_1,Ar Rayyan,1.68918E-05,1.07169E-07,QAT.3_1,Al Khor,2.14184E-05,4.88354E-08,QAT.7_1,Umm Salal,7.22434E-06,0
REU,Crops,REU.4_1,Saint-Pierre,0.010506432,0.000346372,REU.2_1,Saint-Denis,0.017972468,0.000586097,REU.4_1,Saint-Pierre,0.010506432,0.000346372
ROU,Crops,ROU.38_1,Timi<U+0219>,4.91222E-06,1.05262E-06,ROU.14_1,Cluj,0.000361332,1.74159E-05,ROU.41_1,Vaslui,1.08292E-06,2.19912E-07
RUS,Crops,RUS.2_1,Altay,1.46249E-06,1.7869E-07,RUS.80_1,Yamal-Nenets,0.000816933,5.67047E-05,RUS.52_1,Orel,4.2482E-07,2.90913E-08
RWA,Crops,RWA.3_1,Iburasirazuba,4.09492E-05,1.15536E-05,RWA.4_1,Iburengerazuba,0.002838107,0.001335519,RWA.3_1,Iburasirazuba,4.09492E-05,1.15536E-05
SAU,Crops,SAU.7_1,Ar Riyad,5.74051E-06,4.10276E-08,SAU.1_1,`Asir,0.001823384,7.13934E-05,SAU.6_1,Al Quassim,3.68135E-06,3.02917E-08
SDN,Crops,SDN.17_1,West Kurdufan,4.98877E-06,4.07722E-07,SDN.11_1,Red Sea,0.000153018,1.03155E-05,SDN.1_1,Al Jazirah,3.29747E-06,3.74002E-07
SEN,Crops,SEN.8_1,Louga,1.72104E-05,2.96369E-06,SEN.6_1,Kédougou,0.000287653,6.22569E-05,SEN.2_1,Diourbel,3.38072E-07,5.89652E-08
SGP,Crops,SGP.5_1,West,9.46022E-05,1.39782E-05,SGP.3_1,North,0.000170917,2.93488E-05,SGP.2_1,East,5.66887E-05,8.88609E-06
SLB,Crops,SLB.3_1,Guadalcanal,0.016549083,0.003067482,SLB.6_1,Makira Ulawa,0.152679674,0.010689752,SLB.3_1,Guadalcanal,0.016549083,0.003067482
SLE,Crops,SLE.2_1,Northern,0.000150467,4.22789E-05,SLE.4_1,Western,0.009965812,0.003300502,SLE.3_1,Southern,2.64344E-05,7.33566E-06
SLV,Crops,SLV.14_1,Usulután,0.000107976,5.59885E-05,SLV.10_1,San Salvador,0.001412281,0.000616886,SLV.6_1,La Paz,4.0607E-05,2.15387E-05
SOM,Crops,SOM.15_1,Shabeellaha Hoose,7.65583E-06,9.35176E-07,SOM.17_1,Togdheer,0.002209408,0.000564013,SOM.15_1,Shabeellaha Hoose,7.65583E-06,9.35176E-07
SRB,Crops,SRB.6_1,Južno-Banatski,5.19661E-06,6.8356E-07,SRB.16_1,Raški,1.69486E-05,5.76518E-07,SRB.17_1,Severno-Backi,5.4853E-07,1.00623E-07
SSD,Crops,SSD.7_1,Upper Nile,4.064E-05,2.59712E-06,SSD.6_1,Unity,0.000513612,2.13727E-05,SSD.5_1,North Bahr-al-Ghazal,2.6162E-05,3.48544E-06
STP,Crops,STP.2_1,São Tomé,0.318168977,0.095189665,STP.2_1,São Tomé,0.318168977,0.095189665,STP.1_1,Príncipe,0.122598274,0.021020155
SUR,Crops,SUR.5_1,Nickerie,0.000202678,4.53633E-05,SUR.3_1,Coronie,0.000265678,4.19503E-05,SUR.10_1,Wanica,5.25624E-05,1.17623E-05
SVK,Crops,SVK.4_1,Nitriansky,3.63237E-06,3.8364E-07,SVK.8_1,Žilinský,6.23901E-05,1.14904E-05,SVK.4_1,Nitriansky,3.63237E-06,3.8364E-07
SVN,Crops,SVN.8_1,Podravska,3.90603E-06,1.58101E-07,SVN.5_1,Notranjsko-kraška,0.001257392,0.000153297,SVN.9_1,Pomurska,3.47322E-06,3.16654E-07
SWE,Crops,SWE.21_1,Västra Götaland,2.80446E-06,3.35059E-07,SWE.10_1,Norrbotten,6.74886E-05,1.58161E-05,SWE.4_1,Gotland,2.24465E-06,2.92659E-08
SWZ,Crops,SWZ.2_1,Lubombo,0.000294695,9.18576E-05,SWZ.2_1,Lubombo,0.000294695,9.18576E-05,SWZ.3_1,Manzini,8.58027E-05,9.65284E-06
SYR,Crops,SYR.2_1,Aleppo,4.79749E-06,1.8184E-06,SYR.4_1,As Suwayda',7.82396E-05,3.7784E-05,SYR.11_1,Lattakia,1.63786E-06,2.11159E-07
TCD,Crops,TCD.4_1,Chari-Baguirmi,1.63087E-06,1.45522E-07,TCD.9_1,Kanem,0.000194784,1.90548E-05,TCD.11_1,Logone Occidental,1.464E-06,1.55507E-07
TGO,Crops,TGO.4_1,Plateaux,0.000177642,5.23074E-05,TGO.4_1,Plateaux,0.000177642,5.23074E-05,TGO.3_1,Maritime,1.41454E-06,3.70626E-07
THA,Crops,THA.29_1,Nakhon Ratchasima,0.000128531,4.11156E-05,THA.33_1,Narathiwat,0.002335962,0.00111093,THA.63_1,Sing Buri,0,0
TJK,Crops,TJK.3_1,Khatlon,4.22637E-06,5.19058E-07,TJK.2_1,Gorno-Badakhshan,6.70757E-05,4.70422E-06,TJK.1_1,Dushanbe,1.66325E-07,3.30515E-08
TKM,Crops,TKM.1_1,Ahal,6.50509E-06,1.08197E-06,TKM.3_1,Balkan,1.1509E-05,1.67873E-06,TKM.6_1,Tashauz,1.27168E-06,3.09251E-07
TLS,Crops,TLS.13_1,Viqueque,0.000486532,8.83545E-05,TLS.10_1,Liquiçá,0.001967219,0.000353091,TLS.4_1,Baucau,0.000160357,3.15213E-05
TON,Crops,TON.4_1,Tongatapu,6.50662E-05,0,TON.5_1,Vava'u,0.009729128,0,TON.4_1,Tongatapu,6.50662E-05,0
TTO,Crops,TTO.3_1,Couva-Tabaquite-Talparo,0.001749833,0.000167803,TTO.15_1,Tunapuna/Piarco,0.011009402,0.000671256,TTO.6_1,Penal-Debe,2.16681E-06,7.46935E-07
TUN,Crops,TUN.8_1,Kairouan,4.89236E-06,1.3031E-06,TUN.6_1,Gafsa,0.000106337,2.90702E-05,TUN.13_1,Manubah,2.43384E-07,2.01577E-08
TUR,Crops,TUR.53_1,Konya,1.44286E-05,3.36042E-06,TUR.59_1,Mugla,0.00208026,0.000107894,TUR.48_1,Kilis,2.62999E-07,4.86671E-08
TWN,Crops,TWN.7_1,Taiwan,0.002358146,0.000419048,TWN.3_1,New Taipei,0.004158512,0.001050472,TWN.1_1,Fujian,4.33577E-06,4.48148E-07
TZA,Crops,TZA.26_1,Tabora,1.33546E-05,2.44748E-06,TZA.18_1,Pemba North,0.032152068,0.013022076,TZA.23_1,Shinyanga,2.08591E-06,2.52717E-07
UGA,Crops,UGA.39_1,Mbarara,1.23077E-05,3.35175E-06,UGA.26_1,Kisoro,0.004449539,0.00185331,UGA.3_1,Arua,1.55357E-06,1.06391E-07
UKR,Crops,UKR.17_1,Odessa,1.73477E-05,8.06127E-06,UKR.9_1,Kherson,0.000136898,1.92026E-06,UKR.26_1,Zaporizhzhya,5.55148E-08,7.33513E-09
URY,Crops,URY.14_1,Rocha,0.000746715,8.16025E-05,URY.9_1,Maldonado,0.004285674,0.000285783,URY.12_1,Río Negro,0.000164937,4.2034E-05
USA,Crops,USA.44_1,Texas,0.000144816,1.18221E-05,USA.12_1,Hawaii,0.012583723,0.000213545,USA.24_1,Minnesota,3.97218E-06,7.41338E-08
UZB,Crops,UZB.5_1,Karakalpakstan,2.21236E-06,5.10622E-07,UZB.9_1,Navoi,6.38816E-05,5.53634E-05,UZB.11_1,Sirdaryo,2.07863E-08,4.70486E-09
VEN,Crops,VEN.25_1,Zulia,0.000576807,0.000175073,VEN.23_1,Vargas,0.049939593,0.011437476,VEN.13_1,Guárico,2.75982E-05,8.78391E-06
VIR,Crops,VIR.1_1,Saint Croix,0.000236583,2.44987E-05,VIR.1_1,Saint Croix,0.000236583,2.44987E-05,VIR.1_1,Saint Croix,0.000236583,2.44987E-05
VNM,Crops,VNM.21_1,Gia Lai,0.000250772,8.04481E-05,VNM.37_1,Lâm Ð<U+1ED3>ng,0.004576028,0.001664049,VNM.31_1,Hung Yên,3.38389E-08,7.1692E-09
VUT,Crops,VUT.3_1,Sanma,0.01725512,0.00165479,VUT.3_1,Sanma,0.01725512,0.00165479,VUT.4_1,Shefa,0.001935662,0.000138776
WLF,Crops,WLF.3_1,Uvéa,8.55236E-05,0,WLF.3_1,Uvéa,8.55236E-05,0,WLF.3_1,Uvéa,8.55236E-05,0
YEM,Crops,YEM.5_1,Al Hudaydah,1.31667E-05,1.80205E-06,YEM.12_1,Hadramawt,0.001185976,5.67874E-05,YEM.6_1,Al Jawf,1.29446E-05,2.14477E-07
ZAF,Crops,ZAF.2_1,Free State,0.000128407,1.72157E-05,ZAF.9_1,Western Cape,0.001388445,0.000113008,ZAF.7_1,North West,3.56245E-05,4.3306E-06
ZMB,Crops,ZMB.9_1,Southern,8.99062E-05,1.12285E-05,ZMB.7_1,North-Western,0.000438395,0.000101764,ZMB.3_1,Eastern,1.8033E-05,2.91938E-06
ZWE,Crops,ZWE.10_1,Midlands,8.22274E-06,5.31422E-07,ZWE.3_1,Manicaland,0.000397487,2.87645E-05,ZWE.10_1,Midlands,8.22274E-06,5.31422E-07
AFG,Livestock,AFG.12_1,Hirat,2.30799E-07,2.30799E-07,AFG.24_1,Nuristan,4.31157E-06,4.31157E-06,AFG.17_1,Khost,8.68558E-08,8.68558E-08
AGO,Livestock,AGO.5_1,Cuando Cubango,9.59618E-07,9.59618E-07,AGO.5_1,Cuando Cubango,9.59618E-07,9.59618E-07,AGO.4_1,Cabinda,4.98035E-08,4.98035E-08
ALB,Livestock,ALB.4_1,Elbasan,3.56489E-07,3.56489E-07,ALB.11_1,Tiranë,1.27031E-06,1.27031E-06,ALB.3_1,Durrës,1.48865E-07,1.48865E-07
AND,Livestock,AND.7_1,Sant Julià de Lòria,2.47937E-07,2.47937E-07,AND.7_1,Sant Julià de Lòria,2.47937E-07,2.47937E-07,AND.2_1,Canillo,7.66862E-08,7.66862E-08
ARE,Livestock,ARE.3_1,Dubai,4.69488E-07,4.69488E-07,ARE.4_1,Fujairah,6.19006E-06,6.19006E-06,ARE.2_1,Ajman,1.96658E-08,1.96658E-08
ARG,Livestock,ARG.4_1,Chubut,1.15141E-06,1.15141E-06,ARG.15_1,Neuquén,5.91207E-05,5.91207E-05,ARG.18_1,San Juan,4.28577E-07,4.28577E-07
ARM,Livestock,ARM.9_1,Syunik,7.58645E-07,7.58645E-07,ARM.2_1,Ararat,4.76561E-05,4.76561E-05,ARM.6_1,Kotayk,8.03705E-09,8.03705E-09
AUS,Livestock,AUS.7_1,Queensland,4.99935E-06,4.99935E-06,AUS.2_1,Australian Capital Territory,2.39282E-05,2.39282E-05,AUS.11_1,Western Australia,5.55752E-07,5.55752E-07
AUT,Livestock,AUT.4_1,Oberösterreich,5.44805E-08,5.44805E-08,AUT.6_1,Steiermark,8.42355E-08,8.42355E-08,AUT.7_1,Tirol,2.78331E-08,2.78331E-08
AZE,Livestock,AZE.2_1,Aran,1.5824E-07,1.5824E-07,AZE.6_1,Lankaran,1.04071E-05,1.04071E-05,AZE.2_1,Aran,1.5824E-07,1.5824E-07
BDI,Livestock,BDI.16_1,Rutana,4.93914E-07,4.93914E-07,BDI.3_1,Bujumbura Rural,0.000963525,0.000963525,BDI.12_1,Muramvya,0,0
BEL,Livestock,BEL.3_1,Wallonie,8.06008E-08,8.06008E-08,BEL.3_1,Wallonie,8.06008E-08,8.06008E-08,BEL.2_1,Vlaanderen,5.09557E-08,5.09557E-08
BEN,Livestock,BEN.4_1,Borgou,6.70982E-07,6.70982E-07,BEN.3_1,Atlantique,1.93652E-06,1.93652E-06,BEN.10_1,Ouémé,2.84021E-07,2.84021E-07
BFA,Livestock,BFA.12_1,Sahel,1.54506E-06,1.54506E-06,BFA.8_1,Est,1.94825E-06,1.94825E-06,BFA.7_1,Centre,2.9552E-07,2.9552E-07
BGD,Livestock,BGD.2_1,Chittagong,8.41201E-07,8.41201E-07,BGD.6_1,Rangpur,3.13151E-05,3.13151E-05,BGD.2_1,Chittagong,8.41201E-07,8.41201E-07
BGR,Livestock,BGR.21_1,Sofia,4.40704E-07,4.40704E-07,BGR.2_1,Burgas,7.22378E-07,7.22378E-07,BGR.3_1,Dobrich,5.44996E-08,5.44996E-08
BIH,Livestock,BIH.3_1,Repuplika Srpska,3.292E-07,3.292E-07,BIH.1_1,Brcko,7.24965E-07,7.24965E-07,BIH.3_1,Repuplika Srpska,3.292E-07,3.292E-07
BLR,Livestock,BLR.1_1,Brest,9.28172E-08,9.28172E-08,BLR.1_1,Brest,9.28172E-08,9.28172E-08,BLR.6_1,Vitsyebsk,4.96534E-08,4.96534E-08
BLZ,Livestock,BLZ.4_1,Orange Walk,9.53412E-06,9.53412E-06,BLZ.4_1,Orange Walk,9.53412E-06,9.53412E-06,BLZ.4_1,Orange Walk,9.53412E-06,9.53412E-06
BOL,Livestock,BOL.3_1,El Beni,1.45036E-05,1.45036E-05,BOL.2_1,Cochabamba,4.6434E-05,4.6434E-05,BOL.5_1,Oruro,1.71246E-06,1.71246E-06
BRA,Livestock,BRA.12_1,Mato Grosso,7.58099E-06,7.58099E-06,BRA.7_1,Distrito Federal,0.000126646,0.000126646,BRA.20_1,Rio Grande do Norte,9.5614E-07,9.5614E-07
BTN,Livestock,BTN.12_1,Samtse,3.35504E-06,3.35504E-06,BTN.13_1,Sarpang,6.14287E-05,6.14287E-05,BTN.14_1,Thimphu,0,0
BWA,Livestock,BWA.7_1,Kgalagadi,1.37962E-06,1.37962E-06,BWA.5_1,Ghanzi,3.59236E-06,3.59236E-06,BWA.4_1,Gaborone,7.24851E-07,7.24851E-07
CAF,Livestock,CAF.14_1,Ouham-Pendé,3.99965E-07,3.99965E-07,CAF.13_1,Ouaka,6.82584E-07,6.82584E-07,CAF.11_1,Nana-Mambéré,2.15614E-07,2.15614E-07
CAN,Livestock,CAN.1_1,Alberta,5.69304E-07,5.69304E-07,CAN.1_1,Alberta,5.69304E-07,5.69304E-07,CAN.5_1,Newfoundland and Labrador,0,0
CHE,Livestock,CHE.6_1,Bern,3.23464E-08,3.23464E-08,CHE.13_1,Neuchâtel,2.44849E-07,2.44849E-07,CHE.22_1,Uri,3.82695E-09,3.82695E-09
CHL,Livestock,CHL.1_1,Aisén del General Carlos Ibáñez del Campo,5.6343E-06,5.6343E-06,CHL.10_1,Los Ríos,3.6381E-05,3.6381E-05,CHL.15_1,Tarapacá,1.94455E-06,1.94455E-06
CHN,Livestock,CHN.28_1,Xinjiang Uygur,1.08107E-06,1.08107E-06,CHN.26_1,Sichuan,1.91326E-05,1.91326E-05,CHN.24_1,Shanghai,5.74307E-09,5.74307E-09
CIV,Livestock,CIV.10_1,Savanes,1.86154E-06,1.86154E-06,CIV.14_1,Zanzan,4.57076E-06,4.57076E-06,CIV.4_1,Denguélé,5.08175E-07,5.08175E-07
CMR,Livestock,CMR.6_1,Nord-Ouest,0.001816354,0.001816354,CMR.6_1,Nord-Ouest,0.001816354,0.001816354,CMR.2_1,Centre,2.43328E-07,2.43328E-07
COD,Livestock,COD.13_1,Kwilu,5.14537E-08,5.14537E-08,COD.22_1,Sud-Kivu,0.000174207,0.000174207,COD.6_1,Ituri,0,0
COG,Livestock,COG.11_1,Pool,7.36008E-08,7.36008E-08,COG.8_1,Niari,1.5571E-05,1.5571E-05,COG.1_1,Bouenza,4.58659E-08,4.58659E-08
COL,Livestock,COL.20_1,Meta,3.40798E-05,3.40798E-05,COL.25_1,Risaralda,0.001578477,0.001578477,COL.32_1,Vichada,1.25068E-06,1.25068E-06
COM,Livestock,COM.1_1,Mwali,2.01824E-05,2.01824E-05,COM.1_1,Mwali,2.01824E-05,2.01824E-05,COM.1_1,Mwali,2.01824E-05,2.01824E-05
CPV,Livestock,CPV.1_1,Boa Vista,0,0,CPV.6_1,Porto Novo,1.61514E-07,1.61514E-07,CPV.1_1,Boa Vista,0,0
CRI,Livestock,CRI.1_1,Alajuela,0.000226581,0.000226581,CRI.3_1,Guanacaste,0.001707743,0.001707743,CRI.7_1,San José,0.000144132,0.000144132
CUB,Livestock,CUB.1_1,Camagüey,2.87341E-05,2.87341E-05,CUB.6_1,Guantánamo,0.000160593,0.000160593,CUB.9_1,La Habana,1.31304E-05,1.31304E-05
CZE,Livestock,CZE.1_1,Jihoceský,5.44966E-08,5.44966E-08,CZE.2_1,Jihomoravský,5.5643E-07,5.5643E-07,CZE.4_1,Kraj Vysocina,4.47366E-08,4.47366E-08
DEU,Livestock,DEU.2_1,Bayern,1.71506E-05,1.71506E-05,DEU.2_1,Bayern,1.71506E-05,1.71506E-05,DEU.15_1,Schleswig-Holstein,1.75436E-08,1.75436E-08
DJI,Livestock,DJI.2_1,Dikhil,1.64136E-06,1.64136E-06,DJI.1_1,Ali Sabieh,1.77266E-06,1.77266E-06,DJI.3_1,Djibouti,4.73169E-07,4.73169E-07
DNK,Livestock,DNK.3_1,Nordjylland,1.6096E-08,1.6096E-08,DNK.1_1,Hovedstaden,3.59499E-08,3.59499E-08,DNK.5_1,Syddanmark,1.19268E-08,1.19268E-08
DOM,Livestock,DOM.11_1,La Altagracia,0.000889828,0.000889828,DOM.11_1,La Altagracia,0.000889828,0.000889828,DOM.12_1,La Estrelleta,1.74593E-07,1.74593E-07
DZA,Livestock,DZA.20_1,Ghardaïa,1.12703E-06,1.12703E-06,DZA.23_1,Jijel,0.000393455,0.000393455,DZA.18_1,El Oued,1.20846E-07,1.20846E-07
ECU,Livestock,ECU.14_1,Manabi,0.000118873,0.000118873,ECU.24_1,Zamora Chinchipe,0.002818909,0.002818909,ECU.16_1,Napo,0,0
ERI,Livestock,ERI.4_1,Gash Barka,1.02735E-05,1.02735E-05,ERI.4_1,Gash Barka,1.02735E-05,1.02735E-05,ERI.5_1,Maekel,1.95644E-06,1.95644E-06
ESH,Livestock,ESH.4_1,Oued el Dahab,2.56869E-07,2.56869E-07,ESH.3_1,Laayoune,4.00968E-07,4.00968E-07,ESH.4_1,Oued el Dahab,2.56869E-07,2.56869E-07
ESP,Livestock,ESP.5_1,Castilla y León,1.62487E-06,1.62487E-06,ESP.14_1,Islas Canarias,1.06803E-05,1.06803E-05,ESP.13_1,Islas Baleares,6.29001E-08,6.29001E-08
EST,Livestock,EST.5_1,Jõgeva,3.7294E-08,3.7294E-08,EST.3_1,Ida-Viru,1.16925E-07,1.16925E-07,EST.16_1,Võru,0,0
ETH,Livestock,ETH.8_1,Oromia,2.75416E-05,2.75416E-05,ETH.8_1,Oromia,2.75416E-05,2.75416E-05,ETH.5_1,Dire Dawa,1.41696E-06,1.41696E-06
FIN,Livestock,FIN.5_1,Western Finland,1.69245E-08,1.69245E-08,FIN.3_1,Oulu,1.73386E-08,1.73386E-08,FIN.1_1,Eastern Finland,1.03529E-08,1.03529E-08
FJI,Livestock,FJI.3_1,Northern,1.19625E-06,1.19625E-06,FJI.5_1,Western,3.52617E-05,3.52617E-05,FJI.3_1,Northern,1.19625E-06,1.19625E-06
FRA,Livestock,FRA.5_1,Corse,0,0,FRA.5_1,Corse,0,0,FRA.5_1,Corse,0,0
GAB,Livestock,GAB.2_1,Haut-Ogooué,4.983E-07,4.983E-07,GAB.5_1,Nyanga,2.35836E-06,2.35836E-06,GAB.2_1,Haut-Ogooué,4.983E-07,4.983E-07
GBR,Livestock,GBR.1_1,England,1.70427E-08,1.70427E-08,GBR.3_1,Scotland,4.59198E-08,4.59198E-08,GBR.2_1,Northern Ireland,6.33698E-09,6.33698E-09
GEO,Livestock,GEO.4_1,Imereti,5.1323E-06,5.1323E-06,GEO.7_1,Mtskheta-Mtianeti,1.83016E-05,1.83016E-05,GEO.12_1,Tbilisi,0,0
GHA,Livestock,GHA.6_1,Northern,2.55824E-06,2.55824E-06,GHA.2_1,Brong Ahafo,4.6827E-06,4.6827E-06,GHA.5_1,Greater Accra,2.60275E-07,2.60275E-07
GIN,Livestock,GIN.4_1,Kankan,1.33344E-06,1.33344E-06,GIN.8_1,Nzérékoré,3.73306E-06,3.73306E-06,GIN.2_1,Conakry,5.46774E-08,5.46774E-08
GLP,Livestock,GLP.2_1,Pointe-à-Pitre,1.40639E-05,1.40639E-05,GLP.1_1,Basse-Terre,2.02399E-05,2.02399E-05,GLP.2_1,Pointe-à-Pitre,1.40639E-05,1.40639E-05
GMB,Livestock,GMB.5_1,Upper River,5.99282E-07,5.99282E-07,GMB.5_1,Upper River,5.99282E-07,5.99282E-07,GMB.6_1,Western,1.60771E-07,1.60771E-07
