mine_id,relationship,company
24867,owner,Barrick Gold Corporation
24878,operator,Barrick Gold Corporation
24878,owner,Barrick Gold Corporation
24880,operator,"Grupo México, S.A.B. de C.V."
24880,owner,"Grupo México, S.A.B. de C.V."
24888,operator,NA
24888,owner,NA
24889,operator,Goldrich Mining Company
24889,owner,Goldrich Mining Company
24891,operator,Sibanye-Stillwater Limited
24891,owner,Sibanye-Stillwater Limited
24896,operator,Amca Industries Ltd #807
24896,owner,Amca Industries Ltd #807
24910,operator,Aurcana Silver Corporation
24910,owner,Aurcana Silver Corporation
24911,operator,NA
24911,owner,NA
24922,operator,NA
24922,owner,NA
24928,operator,Comstock Mining Inc.
24928,owner,Comstock Mining Inc.
24929,operator,Centerra Gold Inc.
24929,owner,Centerra Gold Inc.
24932,operator,NA
24932,owner,NA
24936,operator,American Pacific Minerals Ltd
24936,owner,American Pacific Minerals Ltd
24941,operator,NA
24941,owner,NA
24962,operator,"Eastern Resources, Inc."
24962,owner,"Eastern Resources, Inc."
24967,operator,"Coeur Mining, Inc."
24967,owner,"Coeur Mining, Inc."
24968,operator,NA
24968,owner,NA
24971,operator,NA
24971,owner,NA
24972,operator,NA
24972,owner,Major Barite Inc
24987,operator,NA
24987,owner,NA
24990,operator,NA
24990,owner,NA
24998,operator,Yamana Gold Inc.
24998,owner,Yamana Gold Inc.
24999,operator,Borealis Mining Co
24999,owner,"Waterton Global Resource Management, Inc."
25002,operator,St Cloud Mining Co
25002,owner,St Cloud Mining Co
25005,operator,Hecla Mining Company
25005,owner,Hecla Mining Company
25008,operator,OceanaGold Corporation
25008,owner,OceanaGold Corporation
25022,operator,Barrick Gold Corporation
25022,owner,Barrick Gold Corporation
25023,operator,Kinross Gold Corporation
25023,owner,Kinross Gold Corporation
25031,operator,Doe Run Company
25031,owner,Doe Run Company
25035,operator,Calgom Mining Inc (Royal Gold Inc)
25035,owner,Calgom Mining Inc (Royal Gold Inc)
25078,operator,Barrick Gold Corporation
25078,owner,Barrick Gold Corporation
25079,operator,United States Antimony Corporation
25079,owner,United States Antimony Corporation
25084,operator,Equinox Resources (Wash) Inc.
25084,owner,Equinox Resources (Wash) Inc.
25088,operator,Murrays and Gordon Mining and Holdings
25088,owner,Murrays and Gordon Mining and Holdings
25089,operator,NA
25089,owner,NA
25090,operator,Doe Run Company
25090,owner,Doe Run Company
25091,operator,Siskon Gold Corp.
25091,owner,Siskon Gold Corp.
25092,operator,Cal-Sierra Development Inc
25092,owner,Cal-Sierra Development Inc
25094,operator,Aurcana Silver Corporation
25094,owner,Aurcana Silver Corporation
25099,operator,NA
25099,owner,NA
25113,operator,Hecla Mining Company
25113,owner,Hecla Mining Company
25114,operator,NA
25114,owner,NA
25130,operator,NA
25130,owner,Draco Mines Inc
25153,operator,Win-Eldrich Mines Ltd.
25153,owner,American Mining Corporation
25158,operator,Barrick Gold Corporation
25158,owner,Barrick Gold Corporation
25162,operator,NA
25162,owner,NA
25163,operator,Barrick Gold Corporation
25163,owner,Premier Gold Mines Limited
25170,operator,NA
25170,owner,NA
25174,operator,NA
25174,owner,NA
25180,operator,Gila Mines Corp.
