Sector,Subindustry,Process
Productos básicos de consumo ,Productos agrícolas ,Cultivos herbáceos irrigados a gran escala 
Productos básicos de consumo,Productos agrícolas ,Ganadería a gran escala (carne y leche)
Productos básicos de consumo,Productos agrícolas ,Cultivos herbáceos de secano a gran escala 
Consumo discrecional ,Casinos y juegos ,Prestaciones de instalaciones de entretenimiento 
Salud ,Fabricación en biotecnología ,"Fabricación en ciencias de la vida, farmacia y biotecnología "
Salud,Fabricación en el sector de ciencias biológicas ,"Fabricación en el sector de ciencias biológicas, farmacia y biotecnología"
Salud,Fabricación de productos farmacéuticos ,"Fabricación en el sector de ciencias biológicas, farmacia y biotecnología"
Salud,Servicios de biotecnología ,"Herramientas y servicios en ciencias biológicas, farmacia y biotecnología "
Salud,Servicios de herramientas en el sector de ciencias biológicas,"Herramientas y servicios en el sector de ciencias biológicas, farmacia y biotecnología"
Salud,Servicios farmacéuticos ,"Herramientas y servicios en ciencias biológicas, farmacia y biotecnología"
Salud,Atención médica controlada ,Atención médica controlada
Consumo discrecional ,Autopartes y equipamientos,"Fabricación de maquinaria, partes y equipamientos"
Consumo discrecional,Fabricantes de automóviles ,"Fabricación de maquinaria, partes y equipamientos"
Consumo discrecional ,Mobiliario doméstico ,"Fabricación de maquinaria, partes y equipamientos"
Consumo discrecional ,Electrodomésticos ,"Fabricación de maquinaria, partes y equipamientos"
Consumo discrecional ,Fabricantes de motocicletas ,"Fabricación de maquinaria, partes y equipamientos"
Energía,Equipamientos y servicios de petróleo y gas ,"Fabricación de maquinaria, partes y equipamientos"
Industria,Aeroespacio y defensa ,"Fabricación de maquinaria, partes y equipamientos"
Industria,Maquinaria agrícola y de granja ,"Fabricación de maquinaria, partes y equipamientos"
Industria,Maquinaria de construcción y camiones pesados ,"Fabricación de maquinaria, partes y equipamientos"
Industria,Equipo eléctrico pesado ,"Fabricación de maquinaria, partes y equipamientos"
Industria,Maquinaria industrial ,"Fabricación de maquinaria, partes y equipamientos"
Industria,Transporte por Carretera,"Fabricación de maquinaria, partes y equipamientos"
Industria,Puertos y servicios marinos ,Puertos y servicios marinos 
Industria,Marina,Transporte marino 
Materiales,Gases industriales ,Tecnología de membranas 
Materiales,Contenedores de metal y vidrio ,Procesamiento de metales 
Energía,Combustibles de carbón y fungibles ,Minería
Materiales,Aluminio,Minería
Materiales,Cobre,Minería
Materiales,Metales diversificados y minería ,Minería
Materiales,Oro ,Minería
Materiales,Metales preciosos y minerales ,Minería
Materiales,Plata ,Minería
Consumo discrecional ,"Indumentaria, accesorios y artículos de lujo ",Producción de fibras naturales 
Consumo discrecional,Textiles,Producción de fibras naturales 
Materiales,Gases industriales ,Combustión de gas natural 
Servicios ,Servicios de electricidad ,Estaciones de energía nuclear y térmica 
Servicios ,Productores de energía independiente y comercializadores de energía ,Estaciones de energía nuclear y térmica
Energía,Perforación de petróleo y gas ,Perforación de petróleo y gas 
Energía,Exploración y producción de petróleo y gas ,Estudios de exploración de petróleo y gas 
Energía,Refinación y marketing de petróleo y gas,Refinación de petróleo y gas 
Energía,Equipo y servicios de petróleo y gas ,Servicios de petróleo y gas 
Energía,Almacenamiento y transporte de gas y petróleo ,Almacenamiento de petróleo y gas 
Energía,Almacenamiento y transporte de petróleo y gas ,Transporte de petróleo y gas 
Materiales ,Empaques de papel ,Producción de empaques de papel 
Materiales,Químicos diversificados ,Polimerización
Productos básicos de consumo,Alimentos y carnes envasados ,Producción de alimentos y bebidas procesadas 
Productos básicos de consumo,Gaseosas ,Producción de alimentos y bebidas procesadas 
Materiales,Productos forestales ,Elaboración de productos forestales y de madera 
Consumo discrecional ,Productos de entretenimiento ,Elaboración de productos de entretenimiento o personales 
Productos básicos de consumo,Productos personales ,Elaboración de productos de entretenimiento o personales 
Materiales,Productos de papel ,Producción de productos de papel 
Salud ,Centros de salud ,Provisión de centros de salud 
Industria,Carreteras ,Transporte ferroviario 
Sector inmobiliario ,Actividades diversificadas en el sector inmobiliario,Actividades inmobiliarias 
Sector inmobiliario ,Desarrollo inmobiliario,Actividades inmobiliarias 
Sector inmobiliario ,Empresas inmobiliarias,Actividades inmobiliarias
Sector inmobiliario ,Servicios inmobiliarios ,Actividades inmobiliarias 
Materiales,Gases industriales ,Recuperación y separación de dióxido de carbono 
Consumo discrecional ,Restaurantes,Provisión de restaurantes 
Productos básicos de consumo,Productos agrícolas ,Peces capturados en mar abierto 
Tecnología de información ,Equipo semiconductor ,Fabricación de equipo semiconductor 
Materiales,Productos forestales ,Silvicultura a pequeña escala 
Productos básicos de consumo,Productos agrícolas ,Cultivos herbáceos irrigados a pequeña escala
Productos básicos de consumo,Productos agrícolas ,Ganadería a pequeña escala (carne de vacuno y productos lácteos)
Productos básicos de consumo,Productos agrícolas ,Cultivos herbáceos de secano a pequeña escala 
Servicios  ,Electricidad renovable ,Suministro de energía solar 
Materiales,Productos químicos especiales,Procesamiento de sólidos 
Materiales,Acero ,Producción de acero 
Materiales,Fertilizantes y químicos agrícolas ,Producción de fertilizantes sintéticos 
Consumo discrecional ,"Indumentaria, accesorios y artículos de lujo ",Producción de fibra sintética 
Consumo discrecional,Textiles,Producción de fibra sintética 
Servicios de telecomunicaciones ,Servicios de telecomunicaciones integrados ,Servicios de telecomunicaciones e inalámbricos
Servicios de telecomunicaciones,Servicios de telecomunicación inalámbrica ,Servicios de telecomunicaciones e inalámbricos
Productos básicos de consumo,Tabaco,Producción de tabaco 
Consumo discrecional ,Llantas y caucho ,Producción de llantas y caucho 
Materiales,Químicos diversificados ,Vulcanización 
Servicios ,Servicios de agua ,"Servicios de agua (por ejemplo, aguas residuales, tratamiento y distribución)"
Servicios ,Electricidad renovable ,Suministro de energía eólica 
