iso_3,agriculture_type,total_star
IMN,Crops,0.030247424
IMN,Livestock,0.021820491
IND,Crops,33050.56481
IND,Livestock,1235.391508
IOT,Crops,0.000272488
IOT,Livestock,0
IRL,Crops,2.283551275
IRL,Livestock,1.090241613
IRN,Crops,1459.512932
IRN,Livestock,527.5369307
IRQ,Crops,376.4239412
IRQ,Livestock,47.30056917
ISL,Crops,0
ISL,Livestock,9.013857768
ISR,Crops,388.907535
ISR,Livestock,19.53197488
ITA,Crops,2304.233482
ITA,Livestock,702.0157285
JAM,Crops,3982.431308
JAM,Livestock,815.1340474
JEY,Crops,0.000173948
JEY,Livestock,0
JOR,Crops,22.68266492
JOR,Livestock,12.03340111
JPN,Crops,8866.787547
JPN,Livestock,0
KAZ,Crops,810.4563331
KAZ,Livestock,1432.371682
KEN,Crops,7965.63096
KEN,Livestock,2086.184434
KGZ,Crops,68.04684777
KGZ,Livestock,35.89955134
KHM,Crops,2585.187695
KHM,Livestock,355.9298753
KIR,Crops,2.970179964
KIR,Livestock,0
KNA,Crops,1.592565179
KNA,Livestock,0
KOR,Crops,884.5211721
KOR,Livestock,1.750814064
KWT,Crops,0.609510518
KWT,Livestock,0.412902066
LAO,Crops,3470.892355
LAO,Livestock,98.12475463
LBN,Crops,234.8611754
LBN,Livestock,151.4364078
LBR,Crops,2657.40352
LBR,Livestock,1114.359
LBY,Crops,21.33229755
LBY,Livestock,33.76321017
LCA,Crops,777.5228806
LCA,Livestock,0
LIE,Crops,0.033825315
LIE,Livestock,0.009299706
LKA,Crops,17906.39419
LKA,Livestock,1839.412837
LSO,Crops,467.7719177
LSO,Livestock,552.7106375
LTU,Crops,6.778870129
LTU,Livestock,2.121250962
LUX,Crops,0.328574526
LUX,Livestock,0.069987843
LVA,Crops,9.025823258
LVA,Livestock,1.062730834
MAC,Crops,0.173091933
MAC,Livestock,0
MAF,Crops,0.679338038
MAF,Livestock,0.34254837
MAR,Crops,1422.852752
MAR,Livestock,686.4286558
MDA,Crops,11.4990418
MDA,Livestock,6.219250319
MDG,Crops,43371.41382
MDG,Livestock,24951.03369
MDV,Crops,2.79881E-05
MDV,Livestock,0
MEX,Crops,41609.5131
MEX,Livestock,32039.38944
MHL,Crops,0
MHL,Livestock,0
MKD,Crops,5.004785935
MKD,Livestock,2.022543827
MLI,Crops,158.9309528
MLI,Livestock,231.7024851
MLT,Crops,0.008060072
MLT,Livestock,0
MMR,Crops,3671.533048
MMR,Livestock,26.55027603
MNE,Crops,166.04917
